time_stamp	px_est	py_est	v_est	yaw_angle_est	yaw_rate_est	sensor_type	px_meas	py_meas	NIS	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444950000	10.625	1.49284	5.01156	0.257813	0.208356	radar	10.9084	1.70343	3.77288	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.848	1.52776	4.97516	0.256042	0.194328	lidar	10.7313	1.45265	1.05361	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1151	1.57867	5.04912	0.256901	0.182831	radar	11.4783	1.42876	2.04403	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3948	1.62942	5.09673	0.256587	0.171216	lidar	11.587	1.61462	1.96995	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6252	1.68484	5.03524	0.262568	0.168908	radar	11.4763	1.53917	0.733935	11.584	1.78992	4.83313	1.59551
1477010445200000	11.854	1.75169	5.01554	0.272492	0.170797	lidar	11.7788	1.74591	0.298606	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1117	1.84116	5.10894	0.287635	0.17734	radar	12.136	2.14937	1.54599	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3542	1.87383	5.08925	0.278416	0.155994	lidar	12.3226	1.78353	0.572989	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6112	1.93594	5.15909	0.27984	0.147242	radar	12.5457	1.77728	0.869949	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.812	2.06938	5.11948	0.319347	0.185484	lidar	12.5924	2.17509	3.38116	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.081	2.17832	5.24769	0.33593	0.191824	radar	13.2198	2.6644	3.23078	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2856	2.31937	5.21358	0.373891	0.225516	lidar	13.0875	2.40708	2.66726	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4631	2.45921	5.03818	0.415821	0.266254	radar	12.7087	3.12439	11.14	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7132	2.57791	5.07585	0.43332	0.270976	lidar	13.836	2.62479	0.912788	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9327	2.68925	5.04635	0.450418	0.276051	radar	13.8302	2.73893	0.200178	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1619	2.84476	5.07893	0.48284	0.297671	lidar	14.2106	2.94205	0.723993	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4129	2.95763	5.18234	0.487213	0.281382	radar	14.5568	2.87021	1.39757	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6186	3.03098	5.11709	0.483679	0.261214	lidar	14.4616	2.90734	2.20003	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8509	3.18668	5.20176	0.508242	0.272078	radar	14.6754	3.96041	3.6954	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0605	3.37972	5.22983	0.551669	0.30671	lidar	15.0261	3.5067	1.16142	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2712	3.54542	5.18918	0.583	0.328558	radar	15.3685	4.14761	2.65642	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.486	3.73389	5.22596	0.617383	0.349229	lidar	15.5236	3.82936	0.653937	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6967	3.86862	5.20191	0.628087	0.341965	radar	15.7234	3.4105	0.990416	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9184	4.01242	5.20827	0.638444	0.334116	lidar	15.9774	4.00094	0.200082	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1134	4.17232	5.1261	0.663732	0.349527	radar	16.3376	4.21632	1.73685	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3107	4.36771	5.15818	0.695629	0.366041	lidar	16.3313	4.44499	0.404818	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.521	4.53257	5.18515	0.709155	0.359355	radar	16.7586	4.48231	0.635134	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6985	4.69942	5.16099	0.729544	0.362257	lidar	16.6039	4.67344	0.504796	16.613	4.5849	3.74	3.28438
1477010446350000	16.8518	4.8828	5.00677	0.769725	0.399337	radar	16.9236	5.10119	4.1786	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0153	5.10924	5.04736	0.811466	0.424212	lidar	16.9955	5.21099	0.718748	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1858	5.27444	5.00511	0.827654	0.420569	radar	17.3421	4.64623	1.58524	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3433	5.45608	4.98983	0.849525	0.4216	lidar	17.2894	5.43542	0.174882	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5004	5.6187	4.92396	0.865605	0.419196	radar	17.6463	4.74597	2.98362	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6905	5.7432	4.87593	0.855937	0.38445	lidar	17.7853	5.62476	1.50098	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8362	5.93198	4.82073	0.88408	0.399907	radar	17.9216	6.07151	0.838936	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0082	6.12697	4.85102	0.900608	0.39591	lidar	18.1263	6.16985	0.827678	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1597	6.33148	4.8778	0.923207	0.398304	radar	18.1245	6.79027	0.791183	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2808	6.57387	4.91821	0.965096	0.423174	lidar	18.2164	6.66138	0.77346	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4141	6.784	4.91057	0.991234	0.430676	radar	18.4022	7.02231	0.265813	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5599	6.92072	4.82459	0.98678	0.401474	lidar	18.5422	6.76013	1.64863	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7102	7.12746	4.88699	0.997463	0.385333	radar	18.8089	7.24388	0.752644	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9054	7.2685	4.84608	0.977009	0.340758	lidar	19.1441	7.18344	3.79053	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9961	7.46321	4.73423	1.0128	0.370609	radar	18.5479	7.4012	3.77832	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0863	7.73344	4.80798	1.06189	0.404937	lidar	19.0138	7.8688	1.56567	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2084	7.93834	4.81717	1.0763	0.396377	radar	19.3089	7.67375	0.26822	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.287	8.15732	4.80204	1.10867	0.410281	lidar	19.132	8.12845	1.32592	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.387	8.36683	4.81738	1.12495	0.400683	radar	19.0239	8.17194	2.20446	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4811	8.51283	4.70128	1.12818	0.381951	lidar	19.347	8.30741	3.37654	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5742	8.71702	4.66589	1.14921	0.387067	radar	19.6843	8.35902	0.483438	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7338	8.89522	4.65099	1.13674	0.35208	lidar	20.0039	8.8906	4.04859	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8099	9.1116	4.60892	1.16749	0.372828	radar	19.6061	9.48659	0.972671	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9379	9.34497	4.66461	1.17724	0.363306	lidar	20.1574	9.45949	3.21825	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9869	9.55897	4.57789	1.21773	0.398972	radar	19.6163	9.76606	2.54541	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0719	9.80617	4.63344	1.24216	0.404073	lidar	20.1573	9.90876	0.968677	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1334	10.0563	4.7	1.26953	0.407567	radar	19.1911	11.5493	7.3069	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.18	10.337	4.78244	1.30967	0.429272	lidar	20.166	10.4687	1.11948	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1981	10.5685	4.71963	1.35522	0.466288	radar	19.6775	10.803	2.98733	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2546	10.8492	4.80687	1.38498	0.473321	lidar	20.371	11.0109	2.16863	20.1663	10.864	0.722256	4.7934
1477010447850000	20.283	11.108	4.85056	1.41566	0.478383	radar	19.4335	12.3402	4.9064	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3171	11.3481	4.85085	1.4397	0.478514	lidar	20.3164	11.3483	3.70848e-05	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.266	11.5912	4.75655	1.51324	0.555399	radar	19.2063	12.2418	10.8424	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3364	11.8335	4.77443	1.51873	0.531599	lidar	20.6141	11.9422	4.71962	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3613	12.069	4.8218	1.52566	0.493807	radar	19.966	11.9688	3.62752	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3458	12.3632	4.91561	1.56555	0.509597	lidar	20.3263	12.4966	1.14576	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2976	12.5984	4.84487	1.62213	0.561374	radar	20.0192	12.4823	3.34288	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3228	12.8371	4.83802	1.6342	0.544532	lidar	20.498	12.8924	1.81542	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3117	13.0653	4.80686	1.65972	0.545799	radar	20.9151	12.2555	2.0916	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2778	13.2759	4.75704	1.68859	0.547633	lidar	20.1943	13.1688	0.987777	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2399	13.5094	4.76397	1.71514	0.542446	radar	19.858	13.5236	1.2885	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2172	13.7724	4.81159	1.73782	0.537631	lidar	20.3245	13.8896	1.33972	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1631	13.997	4.77913	1.77346	0.55366	radar	20.3387	13.5307	0.8619	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1056	14.2566	4.82902	1.80397	0.556459	lidar	20.1216	14.337	0.389254	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0341	14.4847	4.82473	1.83567	0.559525	radar	19.6717	14.4038	1.38581	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9227	14.7449	4.89474	1.88031	0.57664	lidar	19.781	14.773	1.24654	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8567	14.9615	4.87516	1.89771	0.554758	radar	20.1149	14.0165	3.37306	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8278	15.1758	4.82098	1.90653	0.535435	lidar	20.0208	15.2053	2.12635	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6989	15.3822	4.75692	1.97914	0.622073	radar	20.0157	15.3443	7.99623	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6736	15.564	4.65114	1.98581	0.597243	lidar	19.9131	15.554	3.34218	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5832	15.7647	4.63141	2.01191	0.590516	radar	19.9388	15.0864	1.27336	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4769	15.982	4.65094	2.04221	0.591224	lidar	19.4748	16.0098	0.0468709	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3771	16.1879	4.65707	2.05881	0.564154	radar	19.1556	16.0022	1.7803	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.268	16.3651	4.60888	2.08866	0.566106	lidar	19.238	16.2719	0.533518	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1528	16.5589	4.59821	2.11819	0.569217	radar	19.4007	16.2962	0.246726	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0177	16.7757	4.64661	2.14824	0.570593	lidar	19.0029	16.8387	0.25751	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8615	16.968	4.65529	2.20628	0.629471	radar	18.8373	17.7112	6.71908	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6791	17.2147	4.79569	2.24248	0.63343	lidar	18.6148	17.3832	2.02499	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5776	17.417	4.77702	2.22889	0.55044	radar	18.8177	17.0316	5.96422	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3578	17.6162	4.86983	2.27697	0.570513	lidar	18.1023	17.5529	3.85431	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2211	17.8079	4.86085	2.2813	0.524184	radar	18.2749	17.4877	2.40071	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0907	17.9918	4.83042	2.29794	0.514825	lidar	18.2094	18.0461	0.92186	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9158	18.1462	4.80555	2.34034	0.544038	radar	18.3021	17.498	1.96709	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7901	18.2826	4.70382	2.36173	0.538909	lidar	17.9018	18.2183	1.0517	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6591	18.4612	4.67961	2.36926	0.511942	radar	18.8558	18.1364	6.65813	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4587	18.6484	4.75544	2.39771	0.51428	lidar	17.3845	18.7039	0.547843	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2798	18.7883	4.73185	2.43211	0.528986	radar	17.7945	18.0801	1.73231	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.121	18.9223	4.67817	2.45671	0.527489	lidar	17.1762	18.8863	0.276577	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9536	19.0926	4.68939	2.46895	0.50718	radar	16.9398	19.7311	3.08392	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7349	19.2099	4.69923	2.50933	0.522189	lidar	16.5734	19.052	2.69457	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5434	19.3647	4.72574	2.53289	0.522687	radar	16.1674	20.2201	3.25517	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3115	19.5317	4.82081	2.55853	0.521386	lidar	16.2338	19.6171	0.84846	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0898	19.6143	4.79446	2.60839	0.555373	radar	16.4366	18.2742	10.074	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8824	19.7597	4.82545	2.62867	0.547579	lidar	15.9243	19.8703	0.752556	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6959	19.8824	4.77849	2.63503	0.506147	radar	16.2328	19.2166	3.27007	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4592	20.0395	4.86842	2.65281	0.497618	lidar	15.4332	20.1836	1.26506	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2436	20.1845	4.90057	2.66389	0.477819	radar	14.3677	21.3406	5.64876	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0589	20.3125	4.86723	2.67615	0.466578	lidar	15.2016	20.4385	1.9282	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8278	20.3961	4.86725	2.71257	0.485517	radar	14.7476	19.9571	2.11013	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6129	20.5142	4.87536	2.72957	0.478199	lidar	14.6665	20.6088	0.625448	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3731	20.6039	4.90526	2.76435	0.499184	radar	13.841	21.0031	1.22735	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1274	20.6773	4.91904	2.79629	0.506003	lidar	14.0521	20.5924	0.682064	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8879	20.7505	4.93505	2.83051	0.523529	radar	13.8232	20.859	0.357817	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6115	20.8156	4.99646	2.86449	0.530611	lidar	13.4686	20.7253	1.5572	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3601	20.8488	5.01542	2.91548	0.574907	radar	13.8263	20.4261	2.44214	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1179	20.8875	4.99955	2.94858	0.579476	lidar	13.1072	20.8294	0.190236	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8846	20.9466	4.98611	2.97042	0.570975	radar	13.2669	21.1579	1.78473	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6951	20.9846	4.88742	2.99452	0.568275	lidar	12.8729	21.0592	2.09592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4386	21.0271	4.92455	3.02217	0.56954	radar	11.5171	21.6724	2.53161	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1934	21.0636	4.93181	3.047	0.565716	lidar	12.2062	21.11	0.124467	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9541	21.0836	4.93075	3.07798	0.573449	radar	12.3859	21.1066	0.980344	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7161	21.0523	4.89399	3.12191	0.589701	lidar	11.6814	20.8651	1.96045	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4684	21.039	4.89534	3.15739	0.596823	radar	11.5265	20.6748	1.09378	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.259	21.0298	4.83194	3.1875	0.598485	lidar	11.363	21.0688	0.707559	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0032	20.9918	4.85332	3.22676	0.608785	radar	10.5558	20.5567	4.16205	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7994	20.9515	4.78114	3.26377	0.617239	lidar	10.8903	20.927	0.562756	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5543	20.9481	4.74822	3.27241	0.576481	radar	9.30535	21.3896	5.50604	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2648	20.9788	4.85882	3.27447	0.545953	lidar	10.189	21.209	3.45782	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0275	20.9595	4.84994	3.29445	0.5363	radar	9.97958	21.2932	1.02107	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84225	20.9177	4.75364	3.32535	0.54275	lidar	9.99634	20.9797	1.58884	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.61587	20.9051	4.68528	3.32849	0.500312	radar	9.38223	21.111	2.28338	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.42804	20.8525	4.61079	3.35937	0.508021	lidar	9.53921	20.8762	0.773161	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.21315	20.8084	4.59915	3.38337	0.508349	radar	9.63392	20.9724	1.42287	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90524	20.7818	4.74977	3.38829	0.483885	lidar	8.70331	20.8221	2.7075	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.69592	20.7011	4.72211	3.42372	0.49828	radar	9.84634	20.009	4.33025	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40858	20.6205	4.83237	3.44603	0.493356	lidar	8.22277	20.4839	2.94705	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18052	20.5406	4.83942	3.4743	0.499496	radar	8.29647	20.4978	0.0729603	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93417	20.4613	4.87202	3.49583	0.495262	lidar	7.88599	20.45	0.147926	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71791	20.3756	4.88592	3.52729	0.51108	radar	8.29081	20.6565	3.42046	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.39509	20.3194	5.04591	3.52358	0.47739	lidar	7.18029	20.392	3.34171	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.1608	20.2241	5.03514	3.54449	0.470888	radar	7.09214	20.1196	0.242769	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.89286	20.1409	5.0944	3.55525	0.456456	lidar	6.81542	20.1859	0.521872	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.66681	20.0501	5.06238	3.57121	0.445256	radar	6.89359	20.1536	0.563491	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.4194	19.9578	5.08851	3.58472	0.435705	lidar	6.38914	20.0137	0.242317	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.20281	19.8647	5.06016	3.60224	0.431654	radar	6.67637	20.2142	2.94197	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.93808	19.7705	5.11832	3.6093	0.415514	lidar	5.86119	19.8306	0.612325	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.70103	19.6268	5.18761	3.6437	0.439265	radar	5.28178	19.5036	1.76192	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.53691	19.5018	5.08313	3.6774	0.453424	lidar	5.69089	19.5755	1.72468	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.33455	19.3532	5.07629	3.7099	0.465996	radar	5.9506	18.9859	1.78723	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12593	19.2507	5.05056	3.72215	0.454981	lidar	5.17021	19.4397	1.98569	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.9415	19.1382	4.95192	3.73596	0.438264	radar	5.87397	19.301	4.70026	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78601	18.9878	4.88096	3.77217	0.454881	lidar	4.89149	18.982	0.723674	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57402	18.8378	4.94135	3.7959	0.461025	radar	3.98679	19.0452	1.53691	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40065	18.7064	4.89471	3.81759	0.460611	lidar	4.4685	18.834	1.10881	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.22571	18.5634	4.82402	3.83596	0.449235	radar	4.69245	18.4634	1.24353	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.10745	18.4103	4.72338	3.87508	0.469471	lidar	4.26269	18.481	1.75298	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.91469	18.2382	4.87196	3.90782	0.495377	radar	3.42434	18.8357	7.35642	3.84606	18.2457	-3.82841	-3.26644
